"Sublogins","Sublogins"
"Add","Add"
"Customer Id","Customer Id"
"Email ""%s"" already exists","Email ""%s"" already exists"
"Your password reset link has expired.","Your password reset link has expired."
"Your account is deactivated. You have received an email to reactivate the account.","Your account is deactivated. You have received an email to reactivate the account."
"Store Id","Store Id"
"eMail","eMail"
"Send Mail","Send Mail"
"Firstname","Firstname"
"Lastname","Lastname"
"Days to Expire","Days to Expire"
"Date to Expire","Date to Expire"
"Sublogins View","Sublogins View"
"Customer Email","Customer Email"
"Sublogin Customer Id","Sublogin Customer Id"
"Sublogin Email","Sublogin Email"
"Edit Customer","Edit Customer"
"Further Logins","Further Logins"
"Mail","Mail"
"Expire Date","Expire Date"
"Create further login","Create further login"
"Edit further Login","Edit further Login"
"You have no further logins.","You have no further logins."
"Further logins / Company logins","Further logins / Company logins"
"Manage and edit your company logins. Possibility for editing and creating additional logins for employees and colleagues.","Manage and edit your company logins. Possibility for editing and creating additional logins for employees and colleagues."
